track_name,track_artist,mood,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,track_popularity
Learn to Fly,Foo Fighters,hype,73,0.919,135.997,0.465,-4.025,0.262,0.537,0.0408,2.07e-05,1,4,235293,1.83e-05,73
Hit Me With Your Best Shot,Pat Benatar,happy,70,0.58,127.402,0.741,-9.05,0.212,0.944,0.0304,3.61e-05,1,4,171267,0.117,70
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,other,73,0.72,121.864,0.404,-9.18,0.0466,0.475,0.0623,0.836,0,10,258467,5.59e-05,73
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,other,72,0.927,170.814,0.215,-7.327,0.126,0.49,0.0452,0.00661,1,9,194853,0.000273,72
London Calling - Remastered,The Clash,happy,70,0.801,133.769,0.651,-7.34,0.0825,0.776,0.0514,0.0,1,0,200480,0.123,70
Wish You Were Here,Pink Floyd,live,75,0.262,122.861,0.481,-15.73,0.832,0.375,0.0414,0.0114,1,7,334744,0.735,75
Free Fallin',Tom Petty,romantic,75,0.449,84.383,0.623,-13.333,0.0613,0.573,0.0253,0.0,1,5,256000,0.212,75
No Rain,Blind Melon,romantic,73,0.476,148.117,0.389,-9.342,0.255,0.566,0.0316,5.09e-05,1,9,217107,0.619,73
Panama - 2015 Remaster,Van Halen,hype,72,0.978,141.167,0.526,-5.436,0.0744,0.451,0.108,4.75e-05,1,8,210227,0.00122,72
Would? (2022 Remaster),Alice In Chains,other,72,0.842,100.127,0.297,-7.457,0.0848,0.586,0.0488,9.1e-06,1,6,206773,0.000286,72
Born to Run,Bruce Springsteen,hype,70,0.944,146.347,0.27,-4.199,0.116,0.606,0.0975,2.05e-05,1,4,269920,0.00501,70
Unforgettable,Nat King Cole,sad,69,0.182,136.094,0.349,-13.507,0.143,0.178,0.031,0.0152,1,5,191973,0.92,69
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",sad,68,0.164,58.303,0.136,-18.756,0.109,0.071,0.0364,0.916,0,4,166867,0.911,68
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",sad,68,0.00527,170.612,0.184,-37.264,0.173,0.151,0.0432,0.887,0,1,315427,0.995,68
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",sad,75,0.449,92.468,0.447,-10.634,0.0697,0.036,0.0376,0.961,1,2,315427,0.934,75
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",happy,88,0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0.0,1,1,255916,0.285,88
HIM ALL ALONG,Gunna,romantic,76,0.507,130.007,0.872,-6.323,0.111,0.506,0.072,0.0,0,4,158667,0.195,76
Leave Me Alone,BigXthaPlug,hype,71,0.802,128.085,0.835,-4.286,0.0882,0.374,0.243,7.33e-06,1,7,143778,0.0311,71
PLUTOSKI,Future,other,73,0.533,120.011,0.794,-8.206,0.207,0.15,0.0591,2.76e-05,1,9,179023,0.14,73
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",other,92,0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0,11,256000,0.0584,92
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",happy,78,0.684,166.976,0.832,-4.691,0.229,0.68,0.359,0.0,1,1,149461,0.00449,78
Insecurities,Lil Baby,other,70,0.642,111.907,0.65,-5.332,0.0855,0.186,0.04,0.0,1,2,127154,0.00502,70
Gang Baby,NLE Choppa,other,72,0.699,129.054,0.92,-6.635,0.0745,0.484,0.358,0.0,1,11,138180,0.00768,72
NEW DROP,Don Toliver,other,85,0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,0,4,217333,0.189,85
Help Me,Real Boston Richey,other,73,0.709,78.53,0.749,-6.385,0.329,0.564,0.259,0.0,1,6,181166,0.155,73
No Face,Drake,other,78,0.69,125.951,0.853,-5.858,0.0835,0.471,0.0647,0.0,1,10,137143,0.0771,78
LIL DEMON,Future,hype,77,0.754,131.001,0.863,-5.851,0.0913,0.301,0.0611,0.0,1,11,139197,0.00125,77
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",sad,69,0.4,106.682,0.608,-9.519,0.119,0.089,0.32,0.000327,1,1,159228,0.029,69
Sorry Not Sorry,"Lil Yachty, Veeze",romantic,70,0.509,157.94,0.662,-9.159,0.266,0.549,0.322,0.0,1,1,136709,0.247,70
ALL RED,Playboi Carti,other,81,0.663,143.082,0.76,-4.763,0.305,0.209,0.0551,0.0,0,9,148053,0.109,81
I CAN’T LET GO,"Lil Tecca, Don Toliver",hype,73,0.761,147.216,0.649,-4.204,0.207,0.313,0.152,0.0,1,8,150204,0.00694,73
Chill Bae,Lil Uzi Vert,other,76,0.663,184.057,0.672,-5.984,0.134,0.381,0.243,0.0,1,3,138324,0.112,76
2AM,BigXthaPlug,other,69,0.681,114.991,0.884,-5.839,0.277,0.324,0.149,0.0,1,8,184294,0.0439,69
It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",angry,76,0.723,139.942,0.783,-4.881,0.159,0.294,0.135,0.0,1,1,278001,0.0264,76
The Viper,BabyChiefDoit,hype,68,0.831,139.905,0.652,-5.972,0.269,0.648,0.264,0.0,0,10,150997,0.0111,68
Brokey,Latto,other,70,0.525,75.013,0.776,-6.723,0.108,0.467,0.137,0.0,1,1,217613,0.0366,70
25,Rod Wave,other,76,0.5,63.925,0.427,-8.269,0.127,0.269,0.141,0.0,1,0,180000,0.286,76
Or What,"NLE Choppa, 41, Kyle Richh",other,77,0.586,125.845,0.731,-7.564,0.0987,0.147,0.172,0.0,0,1,199165,0.116,77
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",other,84,0.552,144.941,0.64,-5.679,0.119,0.112,0.129,0.0,1,2,228267,0.0215,84
Not Like Us,Kendrick Lamar,other,88,0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0.0,1,1,274192,0.0107,88
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",hype,85,0.859,129.77,0.77,-3.382,0.673,0.64,0.275,0.0,0,10,207273,0.362,85
FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",other,72,0.685,121.991,0.731,-4.707,0.0865,0.458,0.12,0.0,0,11,167229,0.054,72
TEFLON DON,Future,other,74,0.578,124.005,0.916,-6.275,0.113,0.192,0.124,0.00402,1,11,159894,0.00349,74
Circadian Rhythm,Drake,other,79,0.574,146.007,0.694,-6.144,0.082,0.286,0.0483,0.0,0,1,126356,0.193,79
The Largest,BigXthaPlug,happy,68,0.867,131.041,0.902,-3.108,0.142,0.799,0.225,0.0,0,10,132338,0.0678,68
Light Year (Practice),Lil Uzi Vert,other,73,0.692,140.203,0.637,-7.231,0.345,0.427,0.164,0.0,0,1,164366,0.0153,73
Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",other,69,0.478,104.563,0.675,-10.201,0.127,0.39,0.512,7.8e-06,1,1,210286,0.0731,69
Rah Tah Tah,"Tyler, The Creator",other,87,0.878,82.557,0.661,-4.099,0.381,0.514,0.31,0.0,1,1,165413,0.00289,87
Both Ways,Juice WRLD,other,73,0.396,78.022,0.726,-9.121,0.527,0.413,0.283,0.0,0,5,197428,0.269,73
NISSAN ALTIMA,Doechii,other,72,0.711,117.038,0.974,-5.206,0.0888,0.328,0.194,3.92e-05,0,11,126832,0.0988,72
Tailor Swif,A$AP Rocky,other,74,0.527,77.499,0.824,-5.506,0.368,0.212,0.118,0.0,1,8,155391,0.149,74
GEEK TIMË,Yeat,other,72,0.752,158.042,0.638,-6.227,0.17,0.242,0.0385,0.734,0,1,170188,0.0066,72
Many Men (Wish Death),50 Cent,angry,71,0.826,108.52,0.654,-2.93,0.131,0.417,0.354,0.00146,0,6,256227,0.0153,71
Not Like Us,Kendrick Lamar,other,88,0.472,101.061,0.898,-7.001,0.141,0.214,0.0776,0.0,1,1,274192,0.0107,88
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",happy,81,0.764,140.113,0.882,-5.241,0.119,0.886,0.204,0.0,1,11,140733,0.359,81
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",other,84,0.552,144.941,0.64,-5.679,0.119,0.112,0.129,0.0,1,2,228267,0.0215,84
"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",other,68,0.632,123.987,0.848,-7.381,0.282,0.253,0.277,0.0,1,2,171198,0.398,68
Dior,Pop Smoke,hype,76,0.805,142.096,0.548,-5.732,0.408,0.649,0.351,0.000405,1,7,216387,0.212,76
